Fecha,Cartera Vigente,INPC,INPP,IFB,PIB_USA,INEGI_Actividad_Industrial
2016-06,1731368.4,89.32402789,112.4033134,110.2,106.094,104.9786555
2016-07,1773731.04,89.55691448,112.9327772,105.8,106.11,103.6267943
2016-08,1782275.05,89.80933349,113.3011812,112,106.104,106.2883321
2016-09,1830718.34,90.35774385,114.684143,110.5,106.122,103.1549686
2016-10,1831632.14,90.90615422,114.9174782,113.3,106.201,106.5490912
2016-11,1907673.11,91.61683394,116.3238992,114.3,106.491,106.2960422
2016-12,1916074.84,92.0390348,117.4613747,115.3,106.83,102.6380287
2017-01,1911108.18,93.60388244,119.9010979,105.4,107.167,103.8917929
2017-02,1916734.51,94.14478034,120.5991776,100.7,107.37,100.3703035
2017-03,1939019.3,94.72248933,120.6682549,110.7,107.542,108.0272273
2017-04,1980326.45,94.83893263,120.2034524,95.7,107.679,99.28115168
2017-05,1990698.57,94.72549432,120.3576786,111.4,107.799,106.1988721
2017-06,2015570.53,94.96363964,119.9185596,109.3,107.905,105.056079
2017-07,2034245.68,95.32273574,119.6166604,105.6,108.004,103.2373065
2017-08,2071709.24,95.79376765,119.6857784,111.9,108.073,106.7184749
2017-09,2082858.26,96.09351524,119.8492358,107.5,108.172,101.7539618
2017-10,2122808.98,96.69826913,120.9738496,109.7,108.331,105.8338512
2017-11,2141510.49,97.69517399,122.3607939,108.7,108.667,105.0766702
2017-12,2202337.18,98.27288299,122.9252791,114.2,109.059,102.2602812
2018-01,2187403.24,98.7949997,123.9588642,109.3,109.469,104.7593534
2018-02,2214163.54,99.17137448,124.5118831,105.2,109.848,101.0081035
2018-03,2223860.93,99.49215698,125.0656702,105.5,110.18,103.9070497
2018-04,2269596.29,99.15484705,125.013817,104.9,110.462,102.9472867
2018-05,2340144.97,98.99408017,126.8693641,112.1,110.574,106.4137105
2018-06,2378117.98,99.37646493,128.2529116,110.1,110.631,105.3585653
2018-07,2351506.53,99.9090991,127.4096268,110.5,110.663,104.6232478
2018-08,2387237.86,100.492,127.3260313,109.4,110.729,107.0091128
2018-09,2392417.21,100.917,128.0732461,106.7,110.815,103.570313
2018-10,2445853.67,101.44,128.5473183,113.7,110.933,106.8609295
2018-11,2468354.59,102.303,130.3270122,105,111.121,103.7756333
2018-12,2446795.43,103.02,130.8143215,106.4,111.347,99.63974131
2019-01,2442517.99,103.108,130.1151946,111,111.603,103.7443623
2019-02,2476951.51,103.079,130.1429372,103.2,111.882,100.0346545
2019-03,2520958.58,103.476,130.375741,103.1,112.178,103.8480227
2019-04,2539874.4,103.531,130.7975383,98.8,112.483,100.0204769
2019-05,2571481.38,103.233,130.9009811,103.7,112.79,102.8527359
2019-06,2586709.61,103.299,131.4379837,106.4,113.093,103.8480227
